membershipID,placeID,pilgrimageKey,pilgrimageName,siteNumber,siteNumberLabel,status,sourceURL,verifiedAt,notes
saigoku33-01,jp-pilgrimage-saigoku33-01,saigoku33,西国三十三所,1,第1番,open,https://saikoku33.gr.jp/place/1,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-02,jp-pilgrimage-saigoku33-02,saigoku33,西国三十三所,2,第2番,open,https://saikoku33.gr.jp/place/2,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-03,jp-pilgrimage-saigoku33-03,saigoku33,西国三十三所,3,第3番,open,https://saikoku33.gr.jp/place/3,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-04,jp-pilgrimage-saigoku33-04,saigoku33,西国三十三所,4,第4番,open,https://saikoku33.gr.jp/place/4,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-05,jp-pilgrimage-saigoku33-05,saigoku33,西国三十三所,5,第5番,open,https://saikoku33.gr.jp/place/5,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-06,jp-pilgrimage-saigoku33-06,saigoku33,西国三十三所,6,第6番,open,https://saikoku33.gr.jp/place/6,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-07,jp-nara-okadera,saigoku33,西国三十三所,7,第7番,open,https://saikoku33.gr.jp/place/7,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-08,jp-nara-hasedera,saigoku33,西国三十三所,8,第8番,open,https://saikoku33.gr.jp/place/8,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-09,jp-nara-kohfukuji,saigoku33,西国三十三所,9,第9番,open,https://saikoku33.gr.jp/place/9,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-10,jp-pilgrimage-saigoku33-10,saigoku33,西国三十三所,10,第10番,open,https://saikoku33.gr.jp/place/10,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-11,jp-pilgrimage-saigoku33-11,saigoku33,西国三十三所,11,第11番,open,https://saikoku33.gr.jp/place/11,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-12,jp-pilgrimage-saigoku33-12,saigoku33,西国三十三所,12,第12番,open,https://saikoku33.gr.jp/place/12,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-13,jp-pilgrimage-saigoku33-13,saigoku33,西国三十三所,13,第13番,open,https://saikoku33.gr.jp/place/13,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-14,jp-pilgrimage-saigoku33-14,saigoku33,西国三十三所,14,第14番,open,https://saikoku33.gr.jp/place/14,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-15,jp-pilgrimage-saigoku33-15,saigoku33,西国三十三所,15,第15番,open,https://saikoku33.gr.jp/place/15,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-16,jp-kyoto-kiyomizu-dera,saigoku33,西国三十三所,16,第16番,open,https://saikoku33.gr.jp/place/16,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-17,jp-pilgrimage-saigoku33-17,saigoku33,西国三十三所,17,第17番,open,https://saikoku33.gr.jp/place/17,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-18,jp-pilgrimage-saigoku33-18,saigoku33,西国三十三所,18,第18番,open,https://saikoku33.gr.jp/place/18,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-19,jp-pilgrimage-saigoku33-19,saigoku33,西国三十三所,19,第19番,open,https://saikoku33.gr.jp/place/19,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-20,jp-pilgrimage-saigoku33-20,saigoku33,西国三十三所,20,第20番,open,https://saikoku33.gr.jp/place/20,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-21,jp-pilgrimage-saigoku33-21,saigoku33,西国三十三所,21,第21番,open,https://saikoku33.gr.jp/place/21,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-22,jp-pilgrimage-saigoku33-22,saigoku33,西国三十三所,22,第22番,open,https://saikoku33.gr.jp/place/22,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-23,jp-pilgrimage-saigoku33-23,saigoku33,西国三十三所,23,第23番,open,https://saikoku33.gr.jp/place/23,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-24,jp-pilgrimage-saigoku33-24,saigoku33,西国三十三所,24,第24番,open,https://saikoku33.gr.jp/place/24,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-25,jp-pilgrimage-saigoku33-25,saigoku33,西国三十三所,25,第25番,open,https://saikoku33.gr.jp/place/25,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-26,jp-pilgrimage-saigoku33-26,saigoku33,西国三十三所,26,第26番,open,https://saikoku33.gr.jp/place/26,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-27,jp-pilgrimage-saigoku33-27,saigoku33,西国三十三所,27,第27番,open,https://saikoku33.gr.jp/place/27,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-28,jp-pilgrimage-saigoku33-28,saigoku33,西国三十三所,28,第28番,open,https://saikoku33.gr.jp/place/28,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-29,jp-pilgrimage-saigoku33-29,saigoku33,西国三十三所,29,第29番,open,https://saikoku33.gr.jp/place/29,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-30,jp-pilgrimage-saigoku33-30,saigoku33,西国三十三所,30,第30番,open,https://saikoku33.gr.jp/place/30,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-31,jp-pilgrimage-saigoku33-31,saigoku33,西国三十三所,31,第31番,open,https://saikoku33.gr.jp/place/31,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-32,jp-pilgrimage-saigoku33-32,saigoku33,西国三十三所,32,第32番,open,https://saikoku33.gr.jp/place/32,2026-07-21,公式霊場会の正規札所。番外札所は含めない
saigoku33-33,jp-pilgrimage-saigoku33-33,saigoku33,西国三十三所,33,第33番,open,https://saikoku33.gr.jp/place/33,2026-07-21,公式霊場会の正規札所。番外札所は含めない
bando33-01,jp-kanagawa-kamakura-sugimotodera,bando33,坂東三十三観音,1,第1番,open,https://bandou.gr.jp/temple/81/,2026-07-21,公式霊場会の正規札所。番外札所は含めない
bando33-02,jp-pilgrimage-bando33-02,bando33,坂東三十三観音,2,第2番,open,https://bandou.gr.jp/temple/%e6%b5%b7%e9%9b%b2%e5%b1%b1-%e5%b2%a9%e6%ae%bf%e5%af%ba%ef%bc%88%e5%b2%a9%e6%ae%bf%e8%a6%b3%e9%9f%b3%ef%bc%89/,2026-07-21,公式霊場会の正規札所。番外札所は含めない
bando33-03,jp-pilgrimage-bando33-03,bando33,坂東三十三観音,3,第3番,open,https://bandou.gr.jp/temple/%e7%a5%87%e5%9c%92%e5%b1%b1-%e5%ae%89%e9%a4%8a%e9%99%a2-%e7%94%b0%e4%bb%a3%e5%af%ba%ef%bc%88%e7%94%b0%e4%bb%a3%e8%a6%b3%e9%9f%b3%ef%bc%89/,2026-07-21,公式霊場会の正規札所。番外札所は含めない
bando33-04,jp-kanagawa-kamakura-hasedera,bando33,坂東三十三観音,4,第4番,open,https://bandou.gr.jp/temple/%e6%b5%b7%e5%85%89%e5%b1%b1-%e9%95%b7%e8%b0%b7%e5%af%ba%ef%bc%88%e9%95%b7%e8%b0%b7%e8%a6%b3%e9%9f%b3%ef%bc%89/,2026-07-21,公式霊場会の正規札所。番外札所は含めない
bando33-05,jp-pilgrimage-bando33-05,bando33,坂東三十三観音,5,第5番,open,https://bandou.gr.jp/temple/%e9%a3%af%e6%b3%89%e5%b1%b1-%e5%8b%9d%e7%a6%8f%e5%af%ba%ef%bc%88%e9%a3%af%e6%b3%89%e8%a6%b3%e9%9f%b3%ef%bc%89/,2026-07-21,公式霊場会の正規札所。番外札所は含めない
bando33-06,jp-pilgrimage-bando33-06,bando33,坂東三十三観音,6,第6番,open,https://bandou.gr.jp/temple/%e9%a3%af%e4%b8%8a%e5%b1%b1-%e9%95%b7%e8%b0%b7%e5%af%ba%ef%bc%88%e9%a3%af%e5%b1%b1%e8%a6%b3%e9%9f%b3%ef%bc%89/,2026-07-21,公式霊場会の正規札所。番外札所は含めない
