membershipID,placeID,collectionKey,collectionName,itemNumber,itemNumberLabel,status,sourceURL,verifiedAt
japan_100_castles-001,jp-castle-001,japan_100_castles,日本100名城,1,第1番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-002,jp-castle-002,japan_100_castles,日本100名城,2,第2番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-003,jp-castle-003,japan_100_castles,日本100名城,3,第3番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-004,jp-aomori-hirosaki-park-castle,japan_100_castles,日本100名城,4,第4番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-005,jp-castle-005,japan_100_castles,日本100名城,5,第5番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-006,jp-castle-006,japan_100_castles,日本100名城,6,第6番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-007,jp-castle-007,japan_100_castles,日本100名城,7,第7番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-008,jp-castle-008,japan_100_castles,日本100名城,8,第8番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-009,jp-castle-009,japan_100_castles,日本100名城,9,第9番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-010,jp-castle-010,japan_100_castles,日本100名城,10,第10番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-011,jp-castle-011,japan_100_castles,日本100名城,11,第11番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-012,jp-fukushima-tsurugajo,japan_100_castles,日本100名城,12,第12番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-013,jp-castle-013,japan_100_castles,日本100名城,13,第13番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-014,jp-castle-014,japan_100_castles,日本100名城,14,第14番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-015,jp-castle-015,japan_100_castles,日本100名城,15,第15番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-016,jp-castle-016,japan_100_castles,日本100名城,16,第16番,open,https://jokaku.jp/business/great-castles/,2026-07-21
japan_100_castles-017,jp-castle-017,japan_100_castles,日本100名城,17,第17番,open,https://jokaku.jp/business/great-castles/,2026-07-21
