placeID,placeKind,officialName,prefecture,evidenceStatus,evidenceKind,evidenceProvider,evidenceURL,verifiedAt,notes
jp-tokyo-meiji-jingu,shrine,明治神宮,東京都,confirmed,official_tourism,東京観光財団 GO TOKYO,https://www.gotokyo.org/jp/spot/76/index.html,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-kyoto-fushimi-inari-taisha,shrine,伏見稲荷大社,京都府,confirmed,official_tourism,京都市観光協会 京都観光Navi,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=448,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-tokyo-sensoji,temple,浅草寺,東京都,confirmed,official_tourism,東京観光財団 GO TOKYO,https://www.gotokyo.org/jp/spot/15/index.html,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-mie-ise-jingu-naiku,shrine,皇大神宮（内宮）,三重県,confirmed,official_tourism,三重県観光連盟 観光三重,https://www.kankomie.or.jp/report/1618,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-mie-ise-jingu-geku,shrine,豊受大神宮（外宮）,三重県,confirmed,official_tourism,三重県観光連盟 観光三重,https://www.kankomie.or.jp/report/1618,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-shimane-izumo-taisha,shrine,出雲大社,島根県,confirmed,official_tourism,島根県観光連盟 しまね観光ナビ,https://www.kankou-shimane.com/destination/20240,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-fukuoka-dazaifu-tenmangu,shrine,太宰府天満宮,福岡県,confirmed,official_tourism,福岡県観光連盟 クロスロードふくおか,https://www.crossroadfukuoka.jp/spot/12546,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-hiroshima-itsukushima-jinja,shrine,嚴島神社,広島県,confirmed,official_tourism,広島県観光連盟 Dive! Hiroshima,https://dive-hiroshima.com/explore/1469/,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-kyoto-kiyomizu-dera,temple,音羽山 清水寺,京都府,confirmed,official_tourism,京都市観光協会 京都観光Navi,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=267,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-nara-todaiji,temple,東大寺,奈良県,confirmed,official_tourism,奈良県ビジターズビューロー Official Nara Travel Guide,https://www.visitnara.jp/venues/A00485/,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-kyoto-kinkakuji,temple,鹿苑寺（金閣寺）,京都府,confirmed,official_tourism,京都市観光協会 京都観光Navi,https://ja.kyoto.travel/tourism/single02.php?category_id=9&tourism_id=2251,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-kyoto-byodoin,temple,平等院,京都府,confirmed,official_tourism,京都市観光協会 京都観光Navi,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=679,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-chiba-naritasan-shinshoji,temple,大本山成田山新勝寺,千葉県,confirmed,official_tourism,千葉県観光物産協会 ちば観光ナビ,https://maruchiba.jp/spot/detail_10145.html,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-hokkaido-hokkaido-jingu,shrine,北海道神宮,北海道,confirmed,official_tourism,北海道観光機構 HOKKAIDO LOVE!,https://www.visit-hokkaido.jp/spot/detail_10001.html,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-miyagi-shiwahiko-shiogama-jinja,shrine,志波彦神社・鹽竈神社,宮城県,confirmed,official_tourism,宮城県観光連盟 宮城まるごと探訪,https://miyagi-kankou.or.jp/theme/detail.php?id=12038,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-tochigi-nikko-toshogu,shrine,日光東照宮,栃木県,confirmed,official_tourism,栃木県観光物産協会 とちぎ旅ネット,https://www.tochigiji.or.jp/spot/s6154,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
